Company,Role,Job Title,Country,Gender,Qualification,Work Type,Experience,Salary ($),Job Portal,Company Value ($M),Latitude,Posting Date
"Nguyen, Mccormick and Ortiz",Account Director,Art Teacher,Australia,Female,B.Tech,Full time,4.8,8656.05,Monster,9.75,-66.90707543854938,2023-01-26
"Hernandez, Henry and Roberts",Aerospace Engineer,Art Teacher,Germany,Female,PhD,Part time,0.6,7539.64,Naukri,7.41,-56.96839776870654,2023-01-31
Nelson LLC,UX Designer,Art Teacher,India,Male,M.Tech,Intern,8.8,10450.61,LinkedIn,9.2,-3.9308056415674457,2023-11-18
Schultz-Adams,Art Teacher,Aerospace Engineer,Australia,Female,M.Tech,Full time,2.0,13526.55,LinkedIn,9.38,-66.90707543854938,2023-07-16
"Byrd, Randall and Crosby",Account Director,Data Scientist,Australia,Male,B.Tech,Intern,5.4,13512.01,Indeed,2.04,-66.90707543854938,2023-08-25
Hayes-Miller,Aerospace Engineer,Account Director,UK,Female,B.Tech,Contract,9.8,18375.32,Monster,3.75,-26.85430197714004,2023-09-13
"Galvan, Evans and Riddle",Aerospace Engineer,Art Teacher,Brazil,Female,M.Tech,Contract,2.8,16541.0,Monster,2.22,59.97537301382212,2023-09-13
Williams-Lopez,Aerospace Engineer,Art Teacher,Germany,Female,B.Tech,Intern,4.0,19035.99,Naukri,3.23,-56.96839776870654,2023-04-19
"Terry, Garcia and Rogers",Data Scientist,Art Teacher,Germany,Male,B.Tech,Intern,2.9,12499.34,Monster,3.01,-56.96839776870654,2023-01-15
"Wallace, Hughes and Haynes",Account Director,Aerospace Engineer,Germany,Male,B.Tech,Full time,6.6,5920.54,LinkedIn,2.45,-56.96839776870654,2023-03-29
"Hutchinson, Snyder and Bennett",Art Teacher,Art Teacher,Brazil,Female,B.Tech,Intern,8.6,7816.28,LinkedIn,2.04,59.97537301382212,2023-04-02
Crawford-Morrison,Data Scientist,Art Teacher,USA,Male,B.Tech,Contract,0.1,12556.39,LinkedIn,1.98,66.92586787149776,2023-03-01
"Alvarado, Mcbride and Valenzuela",Aerospace Engineer,Data Scientist,Australia,Female,B.Tech,Part time,4.7,9407.09,Naukri,4.82,-66.90707543854938,2023-04-26
"Hutchinson, Snyder and Bennett",UX Designer,Aerospace Engineer,Australia,Female,B.Tech,Full time,9.6,5588.77,Monster,9.94,-66.90707543854938,2023-02-11
"Anderson, Wong and Hall",UX Designer,Aerospace Engineer,USA,Female,B.Tech,Full time,1.2,8255.84,Monster,9.71,66.92586787149776,2023-11-12
"Cabrera, Lee and Caldwell",Data Engineer,Aerospace Engineer,USA,Male,M.Tech,Full time,3.7,5901.21,Naukri,8.63,66.92586787149776,2023-03-22
"Pittman, Gutierrez and Munoz",UX Designer,Account Director,Germany,Male,M.Tech,Full time,2.5,15415.48,Monster,4.1,-56.96839776870654,2023-01-22
"Hutchinson, Snyder and Bennett",Cloud Architect,Account Director,Brazil,Male,B.Tech,Contract,4.3,15224.27,Naukri,4.85,59.97537301382212,2023-04-20
"Alvarado, Mcbride and Valenzuela",UX Designer,Art Teacher,India,Male,M.Tech,Intern,5.4,6609.82,LinkedIn,8.17,-3.9308056415674457,2023-07-10
Mccann Group,Account Director,Art Teacher,Brazil,Male,B.Tech,Intern,4.3,16069.49,Monster,6.61,59.97537301382212,2023-09-10
"Hutchinson, Snyder and Bennett",Art Teacher,Data Scientist,USA,Female,B.Tech,Contract,3.8,13504.72,Monster,7.23,66.92586787149776,2023-01-26
White Group,Cloud Architect,Art Teacher,USA,Female,B.Tech,Contract,5.4,13780.5,Indeed,2.34,66.92586787149776,2023-09-13
Leonard-Smith,Art Teacher,Art Teacher,India,Female,MBA,Contract,6.0,6120.95,LinkedIn,8.22,-3.9308056415674457,2023-03-18
"Nguyen, Mccormick and Ortiz",Account Director,Aerospace Engineer,UK,Female,M.Tech,Full time,9.0,8660.81,Naukri,2.94,-26.85430197714004,2023-03-27
"Hernandez, Henry and Roberts",Aerospace Engineer,Data Scientist,Germany,Male,M.Tech,Intern,0.6,16762.16,Indeed,5.0,-56.96839776870654,2023-02-11
"Allen, Williams and Spears",Cloud Architect,Art Teacher,India,Male,M.Tech,Part time,3.3,18914.69,LinkedIn,6.4,-3.9308056415674457,2023-07-02
Leonard-Smith,Data Engineer,Art Teacher,USA,Male,B.Tech,Part time,0.4,13307.11,LinkedIn,4.33,66.92586787149776,2023-02-09
Hayes-Miller,Aerospace Engineer,Aerospace Engineer,India,Male,B.Tech,Intern,8.8,15710.77,Indeed,8.23,-3.9308056415674457,2023-03-02
"Mullen, Hall and Torres",UX Designer,Account Director,UK,Female,M.Tech,Contract,9.8,9853.14,Naukri,7.42,-26.85430197714004,2023-09-25
"Galvan, Evans and Riddle",Data Scientist,Aerospace Engineer,France,Male,M.Tech,Contract,1.0,14118.91,LinkedIn,8.68,51.174083616024376,2023-05-25
"Alvarado, Mcbride and Valenzuela",Data Engineer,Data Scientist,France,Female,B.Tech,Part time,7.1,19381.7,Naukri,2.27,51.174083616024376,2023-10-01
"Byrd, Randall and Crosby",Data Engineer,Art Teacher,Australia,Male,B.Tech,Full time,9.8,12347.68,LinkedIn,3.4,-66.90707543854938,2023-07-17
"Bradley, Hernandez and Hancock",Aerospace Engineer,Art Teacher,Brazil,Male,B.Tech,Part time,9.9,7720.61,Monster,9.19,59.97537301382212,2023-05-07
"Galvan, Evans and Riddle",UX Designer,Art Teacher,USA,Female,M.Tech,Contract,3.8,16668.21,Monster,5.75,66.92586787149776,2023-12-02
"Byrd, Randall and Crosby",Account Director,Aerospace Engineer,UK,Female,B.Tech,Contract,7.2,7333.96,Monster,5.09,-26.85430197714004,2023-06-29
Anderson-Evans,UX Designer,Art Teacher,France,Male,M.Tech,Part time,4.4,12060.56,Naukri,5.76,51.174083616024376,2023-10-04
"Byrd, Randall and Crosby",Account Director,Art Teacher,India,Female,B.Tech,Part time,9.2,11666.27,LinkedIn,3.4,-3.9308056415674457,2023-11-24
White Group,Account Director,Art Teacher,India,Male,M.Tech,Contract,2.9,9502.78,LinkedIn,6.64,-3.9308056415674457,2023-05-30
"Allen, Williams and Spears",Cloud Architect,Aerospace Engineer,France,Female,B.Tech,Full time,3.4,11494.32,Indeed,0.54,51.174083616024376,2023-12-29
"Bradley, Hernandez and Hancock",UX Designer,Data Scientist,USA,Female,B.Tech,Intern,0.4,12428.5,Monster,9.57,66.92586787149776,2023-01-18
"Alvarado, Mcbride and Valenzuela",Data Engineer,Aerospace Engineer,USA,Male,B.Tech,Intern,5.6,7665.77,Indeed,9.98,66.92586787149776,2023-07-20
"Nguyen, Mccormick and Ortiz",Art Teacher,Account Director,USA,Male,MBA,Contract,0.7,8829.39,Indeed,7.26,66.92586787149776,2023-02-24
"Hernandez, Henry and Roberts",Aerospace Engineer,Account Director,India,Female,B.Tech,Intern,6.3,14712.31,Monster,4.36,-3.9308056415674457,2023-09-14
Thomas-Johnson,Account Director,Art Teacher,USA,Female,B.Tech,Contract,6.4,12999.03,Indeed,0.75,66.92586787149776,2023-10-25
"Humphrey, Nash and Lee",UX Designer,Data Scientist,UK,Female,B.Tech,Contract,4.1,10075.58,Indeed,3.25,-26.85430197714004,2023-11-02
"Nguyen, Mccormick and Ortiz",Account Director,Aerospace Engineer,Australia,Female,B.Tech,Full time,8.1,6067.35,Naukri,3.12,-66.90707543854938,2023-10-06
"Nguyen, Mccormick and Ortiz",UX Designer,Account Director,France,Male,PhD,Full time,8.9,13305.08,Indeed,0.81,51.174083616024376,2023-03-15
Nelson LLC,Aerospace Engineer,Data Scientist,France,Male,B.Tech,Full time,7.6,11013.71,Naukri,7.39,51.174083616024376,2023-02-25
"Galvan, Evans and Riddle",UX Designer,Aerospace Engineer,Australia,Female,PhD,Part time,9.9,13922.85,LinkedIn,0.63,-66.90707543854938,2023-12-03
Walsh-Smith,Data Scientist,Data Scientist,Germany,Male,B.Tech,Part time,7.6,11564.02,Monster,7.33,-56.96839776870654,2023-08-25
Hayes-Miller,UX Designer,Account Director,UK,Female,B.Tech,Intern,4.0,17748.92,Monster,0.71,-26.85430197714004,2023-04-13
"Anderson, Wong and Hall",UX Designer,Art Teacher,Germany,Female,M.Tech,Full time,2.1,13834.06,Monster,3.31,-56.96839776870654,2023-10-17
"Nguyen, Mccormick and Ortiz",Aerospace Engineer,Account Director,India,Female,B.Tech,Intern,8.2,14339.7,Monster,0.54,-3.9308056415674457,2023-05-28
Walsh-Smith,Art Teacher,Art Teacher,Brazil,Female,B.Tech,Part time,3.3,13281.85,Monster,5.18,59.97537301382212,2023-04-03
